	title	cluster
0	госзатраты	1
1	госзатраты поиск контрактов	1
2	госзатраты официальный сайт	11
3	госзатраты сайт	11
4		1
5	госзатраты портал	1
6	код спз	1
7	госзатраты	1
8	госзатраты ру	1
9	госзатратыру	1
10	госзатраты по заключенным контрактам	1
11	департамент росприроднадзора по северокавказскому федеральному округу	1
12	санаторий южный фнс россии	1
13	гос затраты	1
14		1
15	госзатраты	1
16	госзатраты сайт	11
17		1
18	кировское областное государственное казенное учреждение дорожный комитет кировской области	10
19	код спз организации	1
20	госзатраты	1
21	госзатраты	1
22	сайт госзатраты	11
23	гку ампп	2
24	спз	1
25	фблпу санаторий южный фнс россии	1
26	гку ампп официальный сайт	11
27	что такое код спз организации	1
28	код спз что это	1
29	фку упрдор тамань	9
30	гбу автомобильные дороги юзао	1
31	поиск поставщиков	1
32	вч 	1
33	код спз что такое	1
34	санаторий южный фнс россии официальный сайт	11
35	фгбу пфмиц минздрава россии г нижний новгород	12
36	фку упрдор каспий астрахань	9
37	елена кулишкина станиславовна	1
38	кубинская сош  имени ткаченко официальный сайт	11
39	мониторинг госзакупок	1
40	транспортное управление костромской области сайт	10
41	дирекция единого заказчика министерства социальной защиты населения	1
42	оборонэнергосбыт кронштадтское отделение	1
43	войсковая часть 	7
44	укс смоленской области официальный сайт	11
45	фку цхисо гу мвд россии по г санктпетербургу и ленинградской области	9
46	гбу автомобильные дороги вао	1
47	узнать окдп по инн	3
48	гаусо реабилитационный центр для детей и подростков с ограниченными возможностями доверие	4
49	упрдор тамань	1
50	центр управления городскими дорогами владимир	4
51		1
52	гбу мфц города москвы вознесенский переулок  телефон	1
53		1
54	войсковая часть 	7
55	гбу автомобильные дороги свао официальный сайт	11
56	техглавстрой	1
57	мегалайн министерство обороны	1
58		1
59		1
60	гос контракты по ремонту дорог в малопургинском районе в  году	5
61	адрес эл почты фозилов дк г урай	1
62	волгаэнергосбыт нижний новгород автозаводский район	5
63	 	1
64	ооо канцтовары	14
65	поиск контрактов	1
66	фгбу минмелиоводхоз рд официальный сайт	11
67	фку налогсервис фнс россии	9
68	войсковая часть 	7
69	глаголев алексей владимирович	1
70	дирекция единого заказчика министерства социальной защиты населения московской области	10
71	служба заказчика министерства строительства хабаровского края	1
72	код по спз	1
73	фку налог сервис	9
74	ц	1
75	 цнии минобороны россии официальный сайт	11
76	сводный перечень заказчиков спз	1
77	фгуп рсво филиал красногвардейский район	5
78	фку налогсервис фнс россии форум зарплата 	9
79	гку дирекция департамента образования города москвы	1
80	донской спасательный центр мчс россии	4
81	фгбу иац судебного департамента	12
82	фгку вч 	1
83	что такое код спз	1
84	департамент автомобильных дорог краснодарского края	1
85	сводный перечень заказчиков	1
86	фгбу нцэсмп минздрава россии	12
87	фгбу центр геодезии картографии и ипд	4
88	бюджеты регионов россии  таблица	9
89	вч 	1
90	код спз как узнать	1
91	мку автохозяйство тула	1
92	фку тамань	9
93		1
94	атекс групп	1
95	егорова лариса станиславовна иваново	1
96	санктпетербургского государственное бюджетное учреждение дом молодежи рекорд	1
97	территориальные информационные системы 	1
98	фгбу сзфмиц минздрава россии	12
99	фку центравтомагистраль	9
100	гку мосэкопром официальный сайт	11
101		1
102	гбу жилищник куркино	1
103	департамент смоленской области по образованию науке и делам молодежи	10
104	дом отдыха прибрежный фсб россии	1
105	минздрав рф почтовый адрес	1
106	мку служба заказчика верхисетского района города екатеринбурга	5
107	усрдис администрации гуфы	1
108	фгку  центральный научноисследовательский институт минобороны рф	1
109		1
110	леноблэкспертиза официальный сайт	11
111	поликлиника  фтс россии ростов на дону	9
112	служба заказчика верхисетского района города екатеринбурга	5
113	управление капитального строительства смоленской области сайт	10
114	упрдор каспий астрахань	1
115	фгку комбинат гранит свердловская область г красноуральск	0
116	гбу мфц города москвы	1
117	гку управление по обеспечению гз ло	2
118	муромский дом интернат для престарелых	1
119	тихоокеанская дирекция по техническому обеспечению надзора на море инн	3
120	управление по обеспечению жизнедеятельности города администрации го гуфа	1
121		1
122	буво цодусз	1
123	гостраты	1
124	дирекция транспортного строительства	1
125	общество с ограниченной ответственностью сигма	6
126	тендер 	1
127	территориальная сервисная компания	1
128	фку упрдор тамань	9
129	фку упрдор тамань официальный сайт	11
130	газпромнефть корпоративные продажи	1
131	гбу автомобильные дороги вао официальный сайт	11
132	гбу жилищник района куркино официальный сайт	11
133	гку ампп телефон	2
134	мбу центр итс	4
135	общество с ограниченной ответственностью техносат	6
136	департамент автомобильных дорог краснодарского края официальный сайт	11
137	детский сад  воронеж официальный сайт	13
138	оквэд кпп	1
139	портал госзатраты	1
140	фку упрдор каспий	9
141	автономная некоммерческая организация дополнительного профессионального образования институт государственного управления	1
142	войсковая часть 	7
143	гку гускк краснодар официальный сайт	11
144	дирекция финансирования программ бдд	1
145	мбу благоустройство таганрог	1
146	мку административнотехническая инспекция челябинск	1
147	филиал  фгу  цвкг им аа вишневского минобороны россии	1
148	центр обеспечения граждан техническими средствами реабилитации ульяновск	4
149	ао строительное управление 	1
150	аукцион  поставка соли таблетированной буз во медсанчасть северсталь	1
151	гбу автомобильные дороги свао	1
152	гку рд дирекция единого государственного заказчиказастройщика	2
153	дирекция финансирования научных и образовательных программ бдд рт	1
154	ооо территориальная сервисная компания екатеринбург	14
155	спецтехуниверсал тамбов	1
156	управление тепловодоснабжения и водоотведения	1
157	фгбу  цнии минобороны россии официальный сайт	11
158	фгку  цнии минобороны россии	1
159	фку упрдор тамань	9
160		1
161	гбу автомобильные дороги юзао официальный сайт	11
162	гку укс самарской области официальный сайт	11
163	департамент земельных отношений и градостроительства тюмень	1
164	общество с ограниченной ответственностью балттранснефтепродукт	6
165	поликлиника  фтс нижний новгород	1
166	сло россия	9
167	фгбу дезз минздрава россии	12
168	фгбу северный эо аср мурманск	12
169	фку упрдор тамань вакансии	9
170	гбу здравоохранения иркутского ордена знак почта областная клиническая больница реквизиты	1
171	гбуз пк црб пмр муниципального района	8
172	госкомитет по охране животного мира и окружающей среды хакасии	1
